codigo_ibge,distribuidora
2916401,COELBA
3152105,CEMIG DISTRIB
4126306,COPEL DISTRIB
5210109,CELG
3151107,ENERGISA MR
3532009,CPFL PAULISTA
4217501,CELESC DIST
5007695,ENERGISA MS
3512902,ELEKTRO
3127107,CEMIG DISTRIB
4202008,CELESC DIST
4306106,RGE SUL
4310603,RGE SUL
3154606,CEMIG DISTRIB
5221403,CELG
5207352,CELG
2301851,AXIA NORDESTE
4208450,CELESC DIST
4318002,RGE SUL
2910057,COELBA
3300308,LIGHT
5007901,ENERGISA MS
3535309,ENERGISA SS
4313375,RGE SUL
5103502,ENERGISA MT
2903276,COELBA
2309607,COELCE
5107040,ENERGISA MT
3147907,CEMIG DISTRIB
2700300,CEAL
3513108,CPFL PAULISTA
1506500,CELPA
1722107,ENERGISA TO
2403251,COSERN
4209003,CELESC DIST
4202305,CELESC DIST
4300604,CEEE DISTRIB
5007109,ENERGISA MS
2502508,ENERGISA PB
2903201,COELBA
3305802,AMPLA
3541307,ENERGISA SS
4313300,CEEE TRANSMISSAO
3305554,LIGHT
4205803,CELESC DIST
4127965,COPEL DISTRIB
5203302,CELG
3138203,CEMIG DISTRIB
5002407,ENERGISA MS
2503209,ENERGISA PB
5001003,ENERGISA MS
1501501,CELPA
3527108,CPFL PAULISTA
4100400,COPEL DISTRIB
2929305,COELBA
4112801,COPEL DISTRIB
1100122,ENERGISA RO
4320206,RGE SUL
3507100,ELEKTRO
3172004,ENERGISA MR
2918001,COELBA
4302352,RGE SUL
2803500,ENERGISA SE
3110509,ENERGISA SS
3542206,ENERGISA SS
3513702,CPFL PAULISTA
3164605,CEMIG DISTRIB
3116605,CEMIG DISTRIB
4216909,CELESC DIST
4318903,RGE SUL
3510500,BANDEIRANTE
3530508,CPFL JAGUARI
2928703,COELBA
3204104,ESCELSA
4207304,CELESC DIST
4211009,CELESC DIST
3114006,CEMIG DISTRIB
3548005,ELEKTRO
2908200,COELBA
3137205,CEMIG DISTRIB
1100304,ENERGISA RO
4114807,COPEL DISTRIB
4110607,COPEL DISTRIB
5102637,ENERGISA MT
4124806,COPEL DISTRIB
3524303,CPFL PAULISTA
5004601,ENERGISA MS
4117701,COPEL DISTRIB
4111803,CPFL JAGUARI
3117603,CEMIG DISTRIB
3140902,ENERGISA MR
4205308,CELESC DIST
5106257,ENERGISA MT
3549409,CPFL PAULISTA
4306809,RGE SUL
3537305,CPFL PAULISTA
3556305,CPFL PAULISTA
